"","_num","_widgetName","_source","_resultNumber","_pageUrl","id","rank","workers","company","url","state_l","state_s","city","metro","growth","revenue","industry","yrs_on_list"
"1",626,"Inc5000 Company List","Inc5000 Company List",626,"http://www.inc.com/inc5000list/json/inc5000_2014.json",23023,626,49,"Greenphire","greenphire","Pennsylvania","PA","King of Prussia","Philadelphia",744.96,6785000,"Software",2
"2",627,"Inc5000 Company List","Inc5000 Company List",627,"http://www.inc.com/inc5000list/json/inc5000_2014.json",23122,627,175,"Branding Brand","branding-brand","Pennsylvania","PA","Pittsburgh","Pittsburgh PA",744.37,12130721,"Software",2
"3",628,"Inc5000 Company List","Inc5000 Company List",628,"http://www.inc.com/inc5000list/json/inc5000_2014.json",21426,628,70,"Quality Management Solutions","quality-management-solutions","Massachusetts","MA","Wakefield","Philadelphia",741.18,17282821,"IT Services",3
"4",629,"Inc5000 Company List","Inc5000 Company List",629,"http://www.inc.com/inc5000list/json/inc5000_2014.json",23297,629,206,"Kendra Scott","kendra-scott","Texas","TX","Austin","Austin",740.77,11602692,"Retail",2
"5",630,"Inc5000 Company List","Inc5000 Company List",630,"http://www.inc.com/inc5000list/json/inc5000_2014.json",25728,630,12,"Dicks Nanton Agency","dicks-nanton-agency","Florida","FL","Orlando","Orlando FL",740.63,3103047,"Advertising & Marketing",1
"6",632,"Inc5000 Company List","Inc5000 Company List",632,"http://www.inc.com/inc5000list/json/inc5000_2014.json",23418,632,94,"Glover Services","glover-services","Utah","UT","Bluffdale","Salt Lake City",738.46,16050088,"Construction",2
"7",633,"Inc5000 Company List","Inc5000 Company List",633,"http://www.inc.com/inc5000list/json/inc5000_2014.json",25621,633,30,"Dime","dime","Georgia","GA","Cumming","Atlanta",736.44,2140645,"Business Products & Services",1
"8",634,"Inc5000 Company List","Inc5000 Company List",634,"http://www.inc.com/inc5000list/json/inc5000_2014.json",21064,634,30,"The Premier Group Staffing","the-premier-group-staffing","Colorado","CO","Denver","Denver",734.64,13657622,"Human Resources",3
"9",637,"Inc5000 Company List","Inc5000 Company List",637,"http://www.inc.com/inc5000list/json/inc5000_2014.json",23029,637,11,"SiiBER","siiber","Indiana","IN","Fort Wayne","Fort Wayne IN",732.47,2368691,"Consumer Products & Services",2
"10",638,"Inc5000 Company List","Inc5000 Company List",638,"http://www.inc.com/inc5000list/json/inc5000_2014.json",23243,638,130,"MobileOne","mobileone","California","CA","San Diego","San Diego",729.82,59079647,"Retail",2
